A42	STATUS	PROGRESS	YEAR	MONTH	START DATE	END DATE	DURATION (DAYS)	ORGANIZER	STATE	VENUE	BRAND	EVENT TYPE	CONTRACTOR	AGREEMENT / QUOTATION APPROVAL	FLOORPLAN	BOOTH NO	SIZE (SQM)	SEND FLOORPLAN TO DESIGNER 	3D CHECKED BY MGT	3D APPROVED BY PETER	3D UPLOADED IN NOTION	WEEKEND ACTIVITY(THEME)	LICENSE(FROM MAJLIS)	WORK / LOADING BAY PERMIT	DECO / COFFE TABLE	SEC DEPO REFUND	TOTAL SALES (RM)	RENTAL (RM)	LINK NOTION 	GCAL ID
2026-04-VINCENT (VTEAM EVENT )-PUTRAJAYA-ALAMANDAPUTRAJAYA-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	15/04/2026	19/04/2026	5	VINCENT (VTEAM EVENT )	PUTRAJAYA	ALAMANDA PUTRAJAYA	AKEMI	SOLO	DREAMART	TRUE	TRUE	CENTRE ATRIUM 		TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	DONE	IN PROGRESS					o0nvt2ptast0hn3sdv7itkkff0@google.com
2026-04-BIGHOME-PENANG-PWCC-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	17/04/2026	19/04/2026	3	BIGHOME	PENANG	PWCC	AKEMI	EXHIBITION	DREAMART	TRUE	TRUE	F27-F35		TRUE	FALSE		FALSE	NO NEED	NO NEED	NO NEED	IN PROGRESS					rbcaga51l83jom4oqclilt0tr4@google.com
2026-04-BIGHOME-PENANG-PWCC-ZANOTTI	CONFIRMED	COMPLETED	2026	APRIL	17/04/2026	19/04/2026	3	BIGHOME	PENANG	PWCC	ZANOTTI	EXHIBITION	DREAMART	TRUE	TRUE	 H58-H63		TRUE	FALSE		FALSE	NO NEED	NO NEED	NO NEED	IN PROGRESS					keppsmv1vljfjkl4utuu4u4e34@google.com
2026-04-REX-KL-MIDVALLEY-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	17/04/2026	19/04/2026	3	REX	KL	MID VALLEY	AKEMI	EXHIBITION	DREAMART	TRUE	TRUE	556-561 (6 BOOTH)		TRUE	FALSE		FALSE									vpjqtkpr4ibd7ada3hrsrg1lm0@google.com
2026-04-REX-KL-MIDVALLEY-ZANOTTI	CONFIRMED	COMPLETED	2026	APRIL	17/04/2026	19/04/2026	3	REX	KL	MID VALLEY	ZANOTTI	EXHIBITION	DREAMART	TRUE	TRUE	536B -538B, 536A -538A (6 BOOTH)		TRUE	FALSE		FALSE									uk10kc3oantio6vre9b6lmnnv8@google.com
2026-04-BIGHOME-PENANG-PWCC-ERGOTEX	CONFIRMED	COMPLETED	2026	APRIL	17/04/2026	19/04/2026	3	BIGHOME	PENANG	PWCC	ERGOTEX	EXHIBITION	DREAMART	TRUE	TRUE	H84-H86, H88-H90		TRUE	FALSE		FALSE	NO NEED	NO NEED	NO NEED	IN PROGRESS					keppsmv1vljfjkl4utuu4u4e34@google.com
2026-04-KAI HAO (KL CHEN)-SABAH-SURIASABAH-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	21/04/2026	26/04/2026	6	KAI HAO (KL CHEN)	SABAH	SURIA SABAH	AKEMI	SOLO	AKIL KAYA	TRUE	TRUE	MAIN ATRIUM (GF)		TRUE	FALSE		FALSE	NO NEED	NO NEED	WAITING APPROVAL	IN PROGRESS					mg1o7cc00mt51h5tvfkju0f01g@google.com
2026-04-MEGAHOME-PENANG-PICCABUTTERWORTHARENA-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	24/04/2026	26/04/2026	3	MEGAHOME	PENANG	PICCA BUTTERWORTH ARENA	AKEMI	EXHIBITION	DREAMART	TRUE	TRUE	A3		TRUE	FALSE		FALSE	NO NEED	NO NEED	NO NEED	IN PROGRESS					aev7gfekbiqelo4gagdat8c06c@google.com
2026-04-REX-KL-MIDVALLEY-AKEMI	CONFIRMED	IN PROGRESS	2026	APRIL	24/04/2026	26/04/2026	3	REX	KL	MID VALLEY	AKEMI	EXHIBITION	DREAMART	TRUE	TRUE	12 (8 BOOTH)		TRUE	FALSE		FALSE	NO NEED	NO NEED	WAITING APPROVAL	IN PROGRESS					2o8bj5v4ensp27gi7m3k0dce9g@google.com
2026-04-REX-KL-MIDVALLEY-ZANOTTI	CONFIRMED	IN PROGRESS	2026	APRIL	24/04/2026	26/04/2026	3	REX	KL	MID VALLEY	ZANOTTI	EXHIBITION	DREAMART	TRUE	TRUE	13 (4 BOOTH)		TRUE	FALSE		FALSE									ag9smt81qnnhikhj7odgj54kao@google.com
2026-04-HOMEDEC-KL-KLCCCONVENTIONCENTRE-ZANOTTI	CONFIRMED	IN PROGRESS	2026	APRIL	30/04/2026	03/05/2026	4	HOMEDEC	KL	KLCC CONVENTION CENTRE	ZANOTTI	EXHIBITION	DREAMART	TRUE	TRUE	5N492	36	TRUE	FALSE		FALSE									uqpk4q2mrui59l1t8da48jgdkg@google.com
	CONFIRMED	IN PROGRESS	2026	APRIL	30/04/2026	03/05/2026	4	HOMEDEC	KL	KLCC CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	TRUE	TRUE	4F410	36	TRUE	FALSE		FALSE									uqpk4q2mrui59l1t8da48jgdkg@google.com
2026-04-MEGAHOME-MELAKA-MITC-AKEMI	CONFIRMED	IN PROGRESS	2026	APRIL	30/04/2026	03/05/2026	4	MEGAHOME	MELAKA	MITC	AKEMI	EXHIBITION	DREAMART	TRUE	TRUE	M128-M135		TRUE	FALSE		FALSE	NO NEED	NO NEED	NO NEED	IN PROGRESS					inobf018nr3efpc5ert2s15j2c@google.com
2026-05-HOMELOVE-KL-SPCC-AKEMI	CONFIRMED		2026	APRIL	22/05/2026	24/05/2026	3	HOMELOVE	KL	SPCC	AKEMI	EXHIBITION	DREAMART	FALSE	FALSE	314-316		FALSE	FALSE		FALSE				FALSE					pb3p7mek2j8dspsisl6kng8q1o@google.com
