A42	STATUS	PROGRESS	YEAR	MONTH	START DATE	END DATE	DURATION (DAYS)	ORGANIZER	STATE	VENUE	BRAND	EVENT TYPE	CONTRACTOR	AGREEMENT / QUOTATION APPROVAL	FLOORPLAN	BOOTH NO	SIZE (SQM)	SEND FLOORPLAN TO DESIGNER 	3D CHECKED BY MGT	3D APPROVED BY PETER	3D UPLOADED IN NOTION	WEEKEND ACTIVITY(THEME)	LICENSE(FROM MAJLIS)	WORK / LOADING BAY PERMIT	DECO / COFFE TABLE	SEC DEPO REFUND	TOTAL SALES (RM)	RENTAL (RM)	LINK NOTION 	GCAL ID
2026-06-HOMELOVE-JOHOR-MVECSOUTHKEY-AKEMI	CONFIRMED		2026	JUNE	19/06/2026	21/06/2026	3	HOMELOVE	JOHOR	MVEC SOUTHKEY	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE		13600			pqhm4dokuvk59hsntovl5najok@google.com
2026-07-MLE-PENANG-PISASPICEARENACONVENTIONCENTRE-ZANOTTI	CONFIRMED		2026	JULY	03/07/2026	05/07/2026	3	MLE	PENANG	PISA SPICE ARENA CONVENTION CENTRE	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE		14000			rrif5dnpc8ljlqbqqdcjr0al9c@google.com
2026-03-KAI HAO (KL CHEN)-KL-AEONBIGWANGSAMAJU-AKEMI	CONFIRMED	COMPLETED	2026	MARCH	10/03/2026	15/03/2026	6	KAI HAO (KL CHEN)	KL	AEON BIG WANGSA MAJU	AKEMI	SOLO	DREAMART	True	True	LEVEL 1 50sqft(near supermarket)	52.02	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE	NO SEC DEPO	14099	6319.23	https://chlorinated-glue-adf.notion.site/KL-Akemi-SOLO-AEON-BIG-WANGSA-MAJU-3137ce8e74e18002afb2f207db83cb81?source=copy_link	i9srkgcdlsr81qi67kh2cjdkf0@google.com
2026-01-MLE-PENANG-PISASPICEARENACONVENTIONCENTRE-ZANOTTI	CONFIRMED	COMPLETED	2026	JANUARY	30/01/2026	01/02/2026	3	MLE	PENANG	PISA SPICE ARENA CONVENTION CENTRE	ZANOTTI	EXHIBITION	DREAMART	True	True	A8 (4 BOOTH)	45.72	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		14379	9333.3	https://chlorinated-glue-adf.notion.site/PENANG-Zanotti-MLE-PISA-SPICE-ARENA-2ee7ce8e74e180a5b9a9dfae8f47864d?source=copy_link	lpe9p3ucu9i1t9k8ic3td121h8@google.com
2026-02-BIGHOME-SARAWAK-MCCCKUCHING-ERGOTEX	CONFIRMED	COMPLETED	2026	FEBRUARY	26/02/2026	01/03/2026	4	BIGHOME	SARAWAK	MCCC KUCHING	ERGOTEX	EXHIBITION	JH CONTRACTOR	True	True	F101,F102,F109F,F110 (4 BOOTH)	36	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		15366	10500	https://chlorinated-glue-adf.notion.site/SARAWAK-Ergotex-BIGHOME-KUCHING-METROCITY-CONVENTION-CENTRE-2fb7ce8e74e1803c8babc03fc3130120?source=copy_link	51dggo2np4etrl4iesq4pn9p68@google.com
2026-06-MYHOME-KL-THESTARLINGMALL-ERGOTEX	CONFIRMED		2026	JUNE	12/06/2026	14/06/2026	3	MYHOME	KL	THE STARLING MALL	ERGOTEX	EXHIBITION	DREAMART	False	False			False	False		False				FALSE		16200			5qomad4oe6bbd2at7ridp1hlb0@google.com
2026-06-MYHOME-KL-THESTARLINGMALL-AKEMI	CONFIRMED		2026	JUNE	12/06/2026	14/06/2026	3	MYHOME	KL	THE STARLING MALL	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE		17100			q2cmidttc83p3iovsdk0pusu5k@google.com
2026-01-BIGHOME-JOHOR-MVECSOUTHKEY-AKEMI	CONFIRMED	COMPLETED	2026	JANUARY	31/01/2026	02/02/2026	3	BIGHOME	JOHOR	MVEC SOUTHKEY	AKEMI	EXHIBITION	DREAMART	True	True	C34-C36, C49-C51 (6 BOOTH)	54	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		17388	9400	https://chlorinated-glue-adf.notion.site/JOHOR-Akemi-BIGHOME-MVEC-SOUTHKEY-2f67ce8e74e1808dac39e7ede8b57733?source=copy_link	a6m78js3snujoatnanvv16oip0@google.com
2026-03-KAI HAO (KL CHEN)-MELAKA-MAHKOTAPARADE-AKEMI	CONFIRMED	COMPLETED	2026	MARCH	21/03/2026	29/03/2026	9	KAI HAO (KL CHEN)	MELAKA	MAHKOTA PARADE	ZANOTTI	SOLO	DREAMART	True	True	KG10A1	160.54	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE	NO SEC DEPO	17968	4743.79		41n7b5i0lb0e696keu69cokci0@google.com
2026-02-MEGAHOME-IPOH-STADIUMINDERAMULIA-AKEMI	CONFIRMED	COMPLETED	2026	FEBRUARY	27/02/2026	01/03/2026	3	MEGAHOME	IPOH	STADIUM INDERA MULIA	AKEMI	EXHIBITION	DREAMART	True	True	76-78 & 83-85 (6 BOOTH)	54	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		18379	15000	https://chlorinated-glue-adf.notion.site/IPOH-Akemi-MEGAHOME-STADIUM-INDERA-MULIA-3067ce8e74e18094b47bed5ddae06da6?source=copy_link	d7pkiccr5pf1mfg3ptck84bga0@google.com
2026-01-BIGHOME-PENANG-SETIASPICECONVENTIONCENTRE-ZANOTTI	CONFIRMED	COMPLETED	2026	JANUARY	09/01/2026	11/01/2026	3	BIGHOME	PENANG	SETIA SPICE CONVENTION CENTRE	ZANOTTI	EXHIBITION	DREAMART	True	True	F68-F70, F85-F87 (6 BOOTH)	54	True	True	WAITING APPROVAL	True	NO NEED	NO NEED	DONE	DONE		19042	24000	https://chlorinated-glue-adf.notion.site/PENANG-Zanotti-BIGHOME-SETIA-SPICE-CONVENTION-CENTRE-2d17ce8e74e18087b089c919b3fef381?source=copy_link	11kovqla5q8tlmeqcmd4ijuflo@google.com
2026-01-MLE-KL-SCCCSHAHALAM-ZANOTTI	CONFIRMED	COMPLETED	2026	JANUARY	09/01/2026	11/01/2026	3	MLE	KL	SCCC SHAH ALAM	ZANOTTI	EXHIBITION	DREAMART	True	True	C26 (6 BOOTH)	54	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE		19230	18000	https://chlorinated-glue-adf.notion.site/KL-Zanotti-MLE-SETIA-CITY-CONVENTION-CENTRE-2d57ce8e74e180e9a8f5d55f13d18820?source=copy_link	hjeklcfsglanmbh8il5ch02lis@google.com
2026-01-BIGHOME-PENANG-SETIASPICECONVENTIONCENTRE-DUNLOPILLO	CONFIRMED	COMPLETED	2026	JANUARY	09/01/2026	11/01/2026	3	BIGHOME	PENANG	SETIA SPICE CONVENTION CENTRE	DUNLOPILLO	EXHIBITION	DREAMART	True	True	H62 (6 BOOTH)	54	True	True	WAITING APPROVAL	True	NO NEED	NO NEED	DONE	DONE		22500	24000	https://chlorinated-glue-adf.notion.site/PENANG-Dunlopillo-BIGHOME-SETIA-SPICE-CONVENTION-CENTRE-2d17ce8e74e180d6a5bbf81bd710600e?source=copy_link	rp9nhuvut5ajndppqpogvbjkjk@google.com
2026-04-MLE-KL-STADIUMBUKITJALIL-ERGOTEX	CONFIRMED		2026	JULY	16/07/2026	19/07/2026	4	MLE	KL	STADIUM BUKIT JALIL	ERGOTEX	EXHIBITION	DREAMART	False	False			False	False		False						22500			q7b72ldrjabtpccol1kc294meg@google.com
2026-03-MALL MGT-KL-THESTARLINGMALL-ERGOTEX	CONFIRMED	COMPLETED	2026	MARCH	17/03/2026	29/03/2026	13	MALL MGT	KL	THE STARLING MALL	ERGOTEX	SOLO	DREAMART	True	True	P4, Level G (near Miniso/Montigo)	102.19	True	True	DONE	True	NO NEED	DONE	DONE	DONE	NO SEC DEPO	24499	2443.61		aijvcmuq55t7s4bgrg1eas4kfk@google.com
2026-07-BIGHOME-KL-SPCC-AKEMI	CONFIRMED		2026	JULY	03/07/2026	05/07/2026	3	BIGHOME	KL	SPCC	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE		24600			ldvg0mtn43runjtbeu48nchdjc@google.com
2026-06-MEGAHOME-PENANG-SETIASPICECONVENTIONCENTRE-AKEMI	CONFIRMED		2026	JUNE	05/06/2026	07/06/2026	3	MEGAHOME	PENANG	SETIA SPICE CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False						25800			cfqdgpdu78dgggkkk4f6k9eqbg@google.com
2026-04-PERFECT LIVING-KL-IOIGECC-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	03/04/2026	05/04/2026	3	PERFECT LIVING	KL	IOIGECC	AKEMI	EXHIBITION	DREAMART	True	True	011-013, 018-020	54	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		25926			jnsntogh46k7f8erqck7kg8kks@google.com
2026-01-PERFECT LIFESTYLE-KL-MIDVALLEY-ZANOTTI	CONFIRMED	COMPLETED	2026	JANUARY	16/01/2026	18/01/2026	3	PERFECT LIFESTYLE	KL	MID VALLEY	ZANOTTI	EXHIBITION	DREAMART	True	True	1005-1008 (4 BOOTH)	36	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE		26946	22050	https://chlorinated-glue-adf.notion.site/KL-Zanotti-PERFECT-LIFESTYLE-MID-VALLEY-2c57ce8e74e18053bacaf1aa9082966b?source=copy_link	ftgj43lvetfe1e1o81gvn7vmt0@google.com
2026-01-BIGHOME-PENANG-SETIASPICECONVENTIONCENTRE-ERGOTEX	CONFIRMED	COMPLETED	2026	JANUARY	09/01/2026	11/01/2026	3	BIGHOME	PENANG	SETIA SPICE CONVENTION CENTRE	ERGOTEX	EXHIBITION	DREAMART	True	True	H67 (6 BOOTH)	54	True	True	WAITING APPROVAL	True	NO NEED	NO NEED	DONE	DONE		27499	24000	https://chlorinated-glue-adf.notion.site/PENANG-Ergotex-BIGHOME-SETIA-SPICE-CONVENTION-CENTRE-2d17ce8e74e18094a880ccd7c562c11f?source=copy_link	cm7svevq620vkoviqg5jbnqdv4@google.com
2026-06-MLE-SEREMBAN-DATARANCENTRIO-AKEMI	CONFIRMED		2026	JUNE	05/06/2026	07/06/2026	3	MLE	SEREMBAN	DATARAN CENTRIO	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE		28800			d64k5g7rjr0ckjbeoau5lg0mao@google.com
2026-06-MLE-SEREMBAN-DATARANCENTRIO-ZANOTTI	CONFIRMED		2026	JUNE	05/06/2026	07/06/2026	3	MLE	SEREMBAN	DATARAN CENTRIO	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE		28800			l0mggo9qjqgvi4k91r74ge5u20@google.com
2026-07-MEGAHOME-MELAKA-MITC-AKEMI	CONFIRMED		2026	JULY	02/07/2026	05/07/2026	4	MEGAHOME	MELAKA	MITC	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False						30000			chft1ffp4tn9b1lhg0tpg2pu78@google.com
	CONFIRMED		2026	JULY	02/07/2026	05/07/2026	4	MEGAHOME	MELAKA	MITC	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False						30000			nqkd3op7c9n2tgf9h1b1k7u5vo@google.com
2026-01-MLE-SEREMBAN-DATARANCENTRIO-ZANOTTI	CONFIRMED	COMPLETED	2026	JANUARY	01/01/2026	04/01/2026	4	MLE	SEREMBAN	DATARAN CENTRIO	ZANOTTI	EXHIBITION	DREAMART	True	True	F6 (4 BOOTH)	36	True	True	DONE	True	NO NEED	NO NEED	NO NEED	DONE		30546	12000	https://chlorinated-glue-adf.notion.site/SEREMBAN-Zanotti-MLE-DATARAN-CENTRIO-2d17ce8e74e180dbbb15ce8409423dbb?source=copy_link	e0loemp5hu3j52n8g0pdorfmks@google.com
2026-04-MLE-KL-STADIUMBUKITJALIL-AKEMI	CONFIRMED		2026	JULY	16/07/2026	19/07/2026	4	MLE	KL	STADIUM BUKIT JALIL	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False						30720			s0i9nlm0g90kefbq3cegustr8c@google.com
2026-04-MLE-KL-STADIUMBUKITJALIL-ZANOTTI	CONFIRMED		2026	JULY	16/07/2026	19/07/2026	4	MLE	KL	STADIUM BUKIT JALIL	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False						30720			hfs6vt44pkuild8mhrcs02tvlc@google.com
2026-01-MYHOME-KL-THESTARLINGMALL-ERGOTEX	CONFIRMED	COMPLETED	2026	JANUARY	23/01/2026	25/01/2026	3	MYHOME	KL	THE STARLING MALL	ERGOTEX	EXHIBITION	DREAMART	True	True	A803 (EVENT HALL)	41.4	True	True	DONE	True	NO NEED	NO NEED	NO NEED	DONE		31398	15200	https://chlorinated-glue-adf.notion.site/KL-Ergotex-MYHOME-THE-STARLING-MALL-2e67ce8e74e1802ca589c4e6f53ebc0d?source=copy_link	bdi0f5iptnqeoh1bs4859rv2r8@google.com
2026-03-KAI HAO (KL CHEN)-KL-AEONRAWANG-ZANOTTI	CONFIRMED	COMPLETED	2026	MARCH	24/03/2026	29/03/2026	6	KAI HAO (KL CHEN)	KL	AEON RAWANG	ZANOTTI	SOLO	DREAMART	True	True	CENTRE COURT	92.9	True	True	DONE	True	DONE	NO NEED	DONE	DONE	NO SEC DEPO	34392	3634.75		u9nb8kmn7ad6vo75rpn8i57n0k@google.com
2026-06-MEGAHOME-JOHOR-AICCAUSTIN-AKEMI	CONFIRMED		2026	JUNE	26/06/2026	28/06/2026	3	MEGAHOME	JOHOR	AICC AUSTIN	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False						34400			ci1vmustegcbqvtvreqn5ct41s@google.com
2026-06-HOMELOVE-PUTRAJAYA-IOIGECC-AKEMI	CONFIRMED		2026	JUNE	26/06/2026	28/06/2026	3	HOMELOVE	PUTRAJAYA	IOIGECC	AKEMI	EXHIBITION	DREAMART	True	True	011-013, 018-020 (6 BOOTH)	54	False	False		False				FALSE		34400			1jnk2f62uuj6i0nc23q2u70lgg@google.com
2026-06-MYHOME-KL-MITEC-AKEMI	CONFIRMED		2026	JUNE	26/06/2026	28/06/2026	3	MYHOME	KL	MITEC	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE		34400			a91d3edpuo1sirsqa2u16u65ug@google.com
2026-06-MLE-KL-SCCCSHAHALAM-AKEMI	CONFIRMED		2026	JUNE	12/06/2026	14/06/2026	3	MLE	KL	SCCC SHAH ALAM	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE		38720			1v81o1qah0692241007fnnaqhs@google.com
2026-01-MALL MGT-KUANTAN-EASTCOASTMALL-AKEMI	CONFIRMED	COMPLETED	2026	JANUARY	23/01/2026	01/02/2026	10	MALL MGT	KUANTAN	EAST COAST MALL	AKEMI	SOLO	DREAMART	True	True	ZONE 1	74.36	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE		39413	19000	https://chlorinated-glue-adf.notion.site/PAHANG-Akemi-SOLO-KUANTAN-EAST-COAST-MALL-2dc7ce8e74e180a2b644c84d30cef92c?source=copy_link	b5fu2kn54fkglankp0gul1tkn0@google.com
2026-01-MLE-JOHOR-MVECSOUTHKEY-ZANOTTI	CONFIRMED	COMPLETED	2026	JANUARY	09/01/2026	11/01/2026	3	MLE	JOHOR	MVEC SOUTHKEY	ZANOTTI	EXHIBITION	DREAMART	True	True	C07A (4 BOOTH)	36	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE		41260	16000	https://chlorinated-glue-adf.notion.site/JOHOR-Zanotti-MLE-MVEC-SOUTHKEY-2d17ce8e74e180568eecda13d9c0f074?source=copy_link	rpplhof3rofschs5crma67eddk@google.com
2026-06-MLE-KL-SCCCSHAHALAM-ZANOTTI	CONFIRMED		2026	JUNE	12/06/2026	14/06/2026	3	MLE	KL	SCCC SHAH ALAM	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE		42400			b7a4brfabrme7uru6pvfqkb11k@google.com
2026-02-MLE-KL-MIDVALLEY-ZANOTTI	CONFIRMED	COMPLETED	2026	FEBRUARY	27/02/2026	01/03/2026	3	MLE	KL	MID VALLEY	ZANOTTI	EXHIBITION	DREAMART	True	True	B26 (6 BOOTH)	54	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED		46046	20000	https://chlorinated-glue-adf.notion.site/KL-Zanotti-MLE-MID-VALLEY-3067ce8e74e180dcb0e7e07f12ab470b?source=copy_link	5nhor8r01vji95gcs92ir1daa0@google.com
2026-04-KAI HAO (KL CHEN)-SEREMBAN-AEONSEREMBAN2-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	14/04/2026	26/04/2026	13	KAI HAO (KL CHEN)	SEREMBAN	AEON SEREMBAN 2	ZANOTTI	SOLO	DREAMART	True	True	CENTRE COURT	220.75	True	True	DONE	True	DONE	NO NEED	DONE	IN PROGRESS		46952			mhm9ofesf2dld754q0ds6bnirg@google.com
2026-04-VINCENT (VTEAM EVENT )-PUTRAJAYA-ALAMANDAPUTRAJAYA-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	15/04/2026	19/04/2026	5	VINCENT (VTEAM EVENT )	PUTRAJAYA	ALAMANDA PUTRAJAYA	AKEMI	SOLO	DREAMART	True	True	CENTRE ATRIUM 	491	True	True	DONE	True	NO NEED	NO NEED	DONE	IN PROGRESS		46952			o0nvt2ptast0hn3sdv7itkkff0@google.com
2026-04-HOMELOVE-KUANTAN-SULTANAHMADSHAHCONVENTIONCENTRE-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	09/04/2026	12/04/2026	4	HOMELOVE	KUANTAN	SULTAN AHMAD SHAH CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	True	True	096-103 (8 BOOTH)	72	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		49411			bedeqr1sud43i8cm12s01ohtps@google.com
2026-01-REX-KL-PAVILIONBUKITJALIL-ERGOTEX	CONFIRMED	COMPLETED	2026	JANUARY	30/01/2026	02/02/2026	4	REX	KL	PAVILION BUKIT JALIL	ERGOTEX	EXHIBITION	DREAMART	True	True	1069-1073, 1075 (6 BOOTH)	54	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE		52073	12000	https://chlorinated-glue-adf.notion.site/KL-Ergotex-REX-PAVILION-BUKIT-JALIL-2e67ce8e74e180408b87c9363127a178?source=copy_link	9kome1649tqfvd9do5bcbqrb2s@google.com
2026-01-MYHOME-PENANG-PWCC-DUNLOPILLO	CONFIRMED	COMPLETED	2026	JANUARY	16/01/2026	18/01/2026	3	MYHOME	PENANG	PWCC	DUNLOPILLO	EXHIBITION	DREAMART	True	True	A803 (4 BOOTH)	36	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE		53600	16000	https://chlorinated-glue-adf.notion.site/PENANG-Dunlopillo-MYHOME-PENANG-WATERFRONT-CONVENTION-CENTRE-2d17ce8e74e18083ab4deb8651a98f73?source=copy_link	612p1t1pr7p1tqq109ij66on1c@google.com
2026-04-KAI HAO (KL CHEN)-SABAH-SURIASABAH-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	21/04/2026	26/04/2026	6	KAI HAO (KL CHEN)	SABAH	SURIA SABAH	AKEMI	SOLO	BAND OF GORILLA	True	True	MAIN ATRIUM (GF)	189.06	True	True	DONE	True	NO NEED	NO NEED	WAITING APPROVAL	IN PROGRESS		54646			mg1o7cc00mt51h5tvfkju0f01g@google.com
2026-04-SYELIN (EV PLAN MKTG)-IPOH-AEONKINTACITY-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	07/04/2026	12/04/2026	6	SYELIN (EV PLAN MKTG)	IPOH	AEON KINTA CITY	AKEMI	SOLO	DREAMART	True	True	CENTRE COURT	271.65	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE		55043			oki3l2j49uphu9kh3mb86q6164@google.com
2026-04-KAI HAO (KL CHEN)-JOHOR-PARADIGMMALL-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	01/04/2026	05/04/2026	5	KAI HAO (KL CHEN)	JOHOR	PARADIGM MALL	AKEMI	SOLO	DREAMART	True	True	P1ExtB 	57.23	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE		55690			qmjhvi5p20miobh4hpce9c3k88@google.com
2026-03-MYHOME-KL-THESTARLINGMALL-ZANOTTI	CONFIRMED	COMPLETED	2026	MARCH	06/03/2026	08/03/2026	3	MYHOME	KL	THE STARLING MALL	ZANOTTI	EXHIBITION	DREAMART	True	True	A605 (4 BOOTH)	40.5	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED	NO SEC DEPO	56288	15200	https://chlorinated-glue-adf.notion.site/KL-Zanotti-MYHOME-THE-STARLING-MALL-3177ce8e74e180c68039de26a3046c7d?source=copy_link	550t8ocbqrk7nll70jtl2ecepo@google.com
2026-01-REX-KL-PAVILIONBUKITJALIL-ZANOTTI	CONFIRMED	COMPLETED	2026	JANUARY	01/01/2026	04/01/2026	4	REX	KL	PAVILION BUKIT JALIL	ZANOTTI	EXHIBITION	DREAMART	True	True	3011 (4 BOOTH)	36	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE		56814	17102.83	https://chlorinated-glue-adf.notion.site/KL-Zanotti-REX-PAVILION-BUKIT-JALIL-2d37ce8e74e180a090fde426e7869561?source=copy_link	qd60m5352cjvj59v0bo3d70ipk@google.com
2026-03-MALL MGT-KL-THESTARLINGMALL-ZANOTTI	CONFIRMED	COMPLETED	2026	MARCH	17/03/2026	29/03/2026	13	MALL MGT	KL	THE STARLING MALL	ZANOTTI	SOLO	DREAMART	True	True	P4, Level G (near Miniso/Montigo)	102.19	True	True	DONE	True	NO NEED	DONE	DONE	DONE	NO SEC DEPO	57593	5744.5		7l7r211j9srbj5m7mblmq4s6jc@google.com
2026-04-MEGAHOME-PENANG-PICCABUTTERWORTHARENA-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	24/04/2026	26/04/2026	3	MEGAHOME	PENANG	PICCA BUTTERWORTH ARENA	AKEMI	EXHIBITION	DREAMART	True	True	A3	66	True	True	DONE	True	NO NEED	NO NEED	NO NEED	IN PROGRESS		63064			aev7gfekbiqelo4gagdat8c06c@google.com
